,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
273,2020-01-08 19:35,1030008003,1,1,538.355,0,0,0,0,0,0,0,1
276,2020-01-08 20:15,1210019701,1,1,181.4729,0,0,0,0,1,0,0,1
277,2020-01-08 21:25,1020025700,2,5,528.262,1,0,0,0,1,0,0,1
281,2020-01-09 8:50,1020000101,3,3,1177.3525,1,0,1,1,1,1,1,1
282,2020-01-09 9:05,1210008803,0,1,2300.7164,0,1,1,0,1,0,1,1
283,2020-01-09 9:35,1180014001,1,1,234.3971,1,0,1,0,1,0,1,1
284,2020-01-09 9:50,1140060300,0,1,629.9866,0,0,1,0,1,0,1,1
286,2020-01-09 10:00,1010025500,0,1,81.3814,0,0,0,0,0,0,0,1
288,2020-01-09 10:25,1160038500,2,2,455.5803,0,0,0,1,0,1,0,1
289,2020-01-09 10:55,1070000600,1,4,802.1551,0,0,1,1,0,0,0,1
289,2020-01-09 10:55,1070000600,1,4,802.1551,0,0,1,1,0,0,0,1
291,2020-01-09 12:25,1220005601,3,3,311.905,0,0,0,0,0,0,0,1
292,2020-01-09 12:30,1140069100,2,0,304.6434,0,0,0,0,0,1,0,1
293,2020-01-09 13:15,1020032000,2,1,477.6225,0,0,0,0,1,0,0,1
293,2020-01-09 13:15,1020032000,2,1,477.6225,0,0,0,0,1,0,0,1
296,2020-01-09 13:30,1020000403,3,1,551.1068,0,0,0,0,1,0,0,1
298,2020-01-09 14:10,1130007001,4,7,1001.6214,0,0,0,0,1,0,0,1
299,2020-01-09 15:05,1220003101,3,5,82.4901,1,0,0,0,0,0,0,1
299,2020-01-09 15:05,1220003101,3,5,82.4901,1,0,0,0,0,0,0,1
303,2020-01-09 15:40,1070042700,1,5,170.7928,0,0,1,0,1,0,1,1
304,2020-01-09 15:50,1210065300,0,2,90.1826,0,0,0,0,0,0,0,1
305,2020-01-09 16:05,1210005301,4,3,1123.4752,0,1,1,1,1,0,1,1
306,2020-01-09 17:35,1210066100,2,2,1335.1718,1,0,1,1,0,1,1,1
307,2020-01-09 17:45,1210066200,0,2,111.7877,0,0,0,0,0,0,0,1
308,2020-01-09 18:10,1190006300,1,1,362.2101,0,0,1,0,1,0,1,1
309,2020-01-09 18:20,1240003900,0,2,785.8749,0,0,0,0,0,0,0,1
310,2020-01-09 18:25,1150070802,2,2,210.2908,0,0,0,0,0,0,0,1
311,2020-01-09 19:05,1210004600,3,3,989.9802,0,0,0,0,1,0,0,1
313,2020-01-09 21:55,1060004101,1,3,1305.9439,0,0,0,0,0,0,1,1
319,2020-01-11 9:25,1130027901,1,1,145.0774,0,0,0,0,0,0,0,1
321,2020-01-11 10:25,1020010701,0,1,530.9531,1,1,1,1,1,0,1,1
322,2020-01-11 10:35,1220342800,3,3,322.1016,0,0,1,0,1,0,0,1
324,2020-01-11 11:00,1060015801,0,0,199.4556,0,0,0,0,1,0,0,1
325,2020-01-11 11:20,1000002201,1,1,610.9803,1,1,1,0,1,0,1,1
326,2020-01-11 11:25,1220005701,3,3,703.298,0,0,1,0,0,0,1,1
327,2020-01-11 11:40,1040031100,1,1,144.9396,0,0,0,0,0,0,0,1
328,2020-01-11 11:55,1110007900,0,1,829.3616,1,0,1,1,1,1,1,1
329,2020-01-11 12:00,1220022200,0,5,567.4358,1,0,1,0,1,0,1,1
330,2020-01-11 12:30,1160008103,1,1,285.1352,0,0,0,0,0,0,0,1
332,2020-01-11 12:40,1130062900,2,0,122.2335,0,0,0,0,1,0,0,1
334,2020-01-11 13:00,1130062900,2,0,122.2335,0,0,0,0,1,0,0,1
336,2020-01-11 13:35,1180073400,0,1,449.4338,0,0,1,0,1,0,1,1
337,2020-01-11 13:40,1030000402,4,3,969.882,0,0,1,1,1,0,1,1
338,2020-01-11 14:10,1010004501,1,1,68.6617,0,0,1,0,1,0,1,1
338,2020-01-11 14:10,1010004501,1,1,68.6617,0,0,1,0,1,0,1,1
340,2020-01-11 15:15,1200033900,0,1,297.5629,0,0,1,1,1,0,1,1
342,2020-01-11 15:25,1130003900,0,2,1578.9316,0,0,1,1,1,1,1,1
343,2020-01-11 15:45,1230019301,1,1,430.8642,0,0,1,1,1,0,1,1
344,2020-01-11 15:50,1030007603,1,5,180.7651,0,0,1,0,1,0,1,1
345,2020-01-11 17:00,1040002201,1,3,619.7155,0,0,1,0,1,0,1,1
346,2020-01-11 17:10,1220043300,0,3,349.7506,0,0,0,0,0,0,0,1
347,2020-01-11 17:45,1210005301,4,3,1123.4752,0,1,1,1,1,0,1,1
348,2020-01-11 17:50,1210004802,3,3,1563.2767,0,0,1,1,1,0,1,1
350,2020-01-11 18:35,1020001002,3,3,707.0388,0,0,1,1,1,0,1,1
351,2020-01-11 19:25,1020037900,2,0,494.236,0,0,1,0,1,0,1,1
351,2020-01-11 19:25,1020037900,2,0,494.236,0,0,1,0,1,0,1,1
353,2020-01-11 19:30,1040000101,3,3,722.7819,1,0,1,1,1,0,0,1
354,2020-01-12 0:35,1010036800,3,1,60.0073,0,0,0,0,0,0,0,1
355,2020-01-12 8:55,1200033900,0,1,297.5629,0,0,1,1,1,0,1,1
356,2020-01-12 9:05,1060022300,1,3,722.5162,0,0,0,0,0,0,0,1
357,2020-01-12 10:05,1140016105,1,1,74.3195,0,0,1,0,0,0,0,1
358,2020-01-12 10:20,1130005001,1,1,309.3585,0,0,0,0,0,0,0,1
358,2020-01-12 10:20,1130005001,1,1,309.3585,0,0,0,0,0,0,0,1
358,2020-01-12 10:20,1130005001,1,1,309.3585,0,0,0,0,0,0,0,1
361,2020-01-12 10:25,1070000600,1,4,802.1551,0,0,1,1,0,0,0,1
362,2020-01-12 10:40,1110010601,2,0,126.6843,1,0,1,0,0,0,0,1
363,2020-01-12 10:45,1130062900,2,0,122.2335,0,0,0,0,1,0,0,1
363,2020-01-12 10:45,1130062900,2,0,122.2335,0,0,0,0,1,0,0,1
365,2020-01-12 10:50,1210021301,0,0,671.3605,0,0,1,0,1,1,1,1
366,2020-01-12 11:05,1030008103,3,1,69.5819,0,0,0,0,0,0,0,1
367,2020-01-12 11:10,1140042800,0,1,343.1617,0,0,1,1,0,0,0,1
369,2020-01-12 11:25,1050001001,1,5,276.6221,0,0,0,0,1,0,1,1
370,2020-01-12 11:30,1100002503,0,3,413.1342,0,0,1,0,0,0,0,1
372,2020-01-12 12:35,1020000101,3,3,1177.3525,1,0,1,1,1,1,1,1
374,2020-01-12 13:55,1070063400,2,0,691.116,1,1,1,1,1,1,1,1
375,2020-01-12 14:05,1210002900,4,3,1991.5605,0,0,1,1,1,1,1,1
375,2020-01-12 14:05,1210002900,4,3,1991.5605,0,0,1,1,1,1,1,1
377,2020-01-12 14:25,1050014200,2,0,397.1297,0,0,1,1,1,1,1,1
378,2020-01-12 14:45,1210008803,0,1,2300.7164,0,1,1,0,1,0,1,1
379,2020-01-12 14:55,1020000403,3,1,551.1068,0,0,0,0,1,0,0,1
379,2020-01-12 14:55,1020000403,3,1,551.1068,0,0,0,0,1,0,0,1
381,2020-01-12 15:00,1000017400,2,2,500.0325,0,0,0,0,0,0,0,1
382,2020-01-12 15:10,1170007105,2,2,255.0181,0,0,1,1,1,0,1,1
383,2020-01-12 15:25,1180105602,1,1,118.2843,0,0,0,0,0,0,0,1
383,2020-01-12 15:25,1180105602,1,1,118.2843,0,0,0,0,0,0,0,1
385,2020-01-12 15:35,1180039501,2,0,397.1171,1,0,1,1,0,0,1,1
387,2020-01-12 16:15,1030031600,2,2,641.5723,1,1,1,1,1,0,1,1
387,2020-01-12 16:15,1030031600,2,2,641.5723,1,1,1,1,1,0,1,1
387,2020-01-12 16:15,1030031600,2,2,641.5723,1,1,1,1,1,0,1,1
390,2020-01-12 16:20,1180032200,0,0,479.5774,1,1,1,1,1,0,1,1
391,2020-01-12 16:30,1150002303,3,3,900.1039,0,0,1,1,1,0,1,1
392,2020-01-12 17:40,1010001702,0,1,665.5348,1,1,1,1,1,1,1,1
393,2020-01-12 17:45,1220028201,1,1,314.1538,1,0,1,0,1,0,1,1
395,2020-01-12 18:20,1130014901,1,1,544.3026,0,0,1,1,1,0,1,1
396,2020-01-12 18:35,1190021700,0,1,269.4926,0,0,0,0,0,0,0,1
397,2020-01-12 20:10,1170009302,1,1,121.0912,0,0,1,0,0,0,1,1
398,2020-01-12 21:25,1200049800,1,3,389.0931,1,0,0,0,0,0,0,1
399,2020-01-12 21:55,1110008001,0,1,826.316,1,1,1,1,1,1,1,1
400,2020-01-13 0:20,1120009703,0,1,55.4051,0,0,0,0,0,0,0,1
401,2020-01-13 7:30,1070000500,1,4,766.7708,1,0,1,1,0,0,0,1
401,2020-01-13 7:30,1070000500,1,4,766.7708,1,0,1,1,0,0,0,1
403,2020-01-13 7:40,1130004301,3,3,388.747,0,0,1,0,1,0,0,1
404,2020-01-13 7:50,1210018402,3,1,193.6406,0,1,1,0,1,0,1,1
