,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
204,2020-01-07 11:30,1240024802,1,1,107.6737,0,0,0,0,0,0,0,0
204,2020-01-07 11:30,1240024802,1,1,107.6737,0,0,0,0,0,0,0,0
206,2020-01-07 13:00,1200001402,3,1,172.2358,1,0,1,0,0,0,0,0
209,2020-01-07 13:40,1220347001,1,3,132.3976019,0,0,0,0,0,0,0,0
211,2020-01-07 13:45,1200000606,3,1,107.5406,1,0,0,0,0,0,0,0
215,2020-01-07 14:20,1200022300,1,0,578.7493,0,0,1,0,1,1,1,0
215,2020-01-07 14:20,1200022300,1,0,578.7493,0,0,1,0,1,1,1,0
217,2020-01-07 15:00,1220018903,2,1,123.5305,0,0,0,0,0,0,0,0
218,2020-01-07 15:10,1180001402,1,5,428.8294,0,0,0,0,0,0,0,0
219,2020-01-07 17:35,1170003802,1,1,132.5582,0,0,0,0,0,0,0,0
220,2020-01-07 18:00,1180015601,0,3,56.3252,0,0,1,0,0,0,0,0
220,2020-01-07 18:00,1180015601,0,3,56.3252,0,0,1,0,0,0,0,0
222,2020-01-07 18:10,1160010102,1,1,46.5232,0,0,0,0,0,0,0,0
223,2020-01-07 18:15,1100002002,1,0,247.3623,0,0,0,0,0,0,0,0
224,2020-01-07 18:25,1110039100,1,1,229.7814,0,0,1,0,0,0,0,0
227,2020-01-07 20:05,1150018401,1,1,591.663,1,0,1,1,0,1,1,0
228,2020-01-07 20:15,1170012402,1,0,175.9313,0,0,1,0,0,0,1,0
232,2020-01-08 0:45,1100002300,3,1,228.5602,0,0,1,0,0,0,0,0
235,2020-01-08 7:15,1210157400,3,1,456.1854,0,0,0,0,0,0,0,0
235,2020-01-08 7:15,1210157400,3,1,456.1854,0,0,0,0,0,0,0,0
237,2020-01-08 7:45,1020051000,1,1,76.4124,0,0,1,0,1,0,0,0
238,2020-01-08 8:30,1110011800,3,1,405.185,1,0,1,0,0,0,0,0
239,2020-01-08 9:00,1120012804,0,3,300.2746,0,0,1,0,0,1,0,0
242,2020-01-08 9:25,1090024700,0,3,124.8087,0,0,0,0,0,0,0,0
243,2020-01-08 9:40,1220019300,3,1,635.7354,0,0,1,1,1,1,1,0
244,2020-01-08 10:00,1100012702,0,3,133.1638,0,0,0,0,0,0,0,0
245,2020-01-08 10:05,1120034600,0,3,182.8013,0,0,0,1,0,0,1,0
245,2020-01-08 10:05,1120034600,0,3,182.8013,0,0,0,1,0,0,1,0
247,2020-01-08 10:20,1150086600,1,3,227.2854,0,0,1,1,1,0,0,0
248,2020-01-08 10:30,1180108000,0,3,442.8687,0,0,1,0,1,0,0,0
249,2020-01-08 11:35,1210054300,0,3,194.1863,0,0,1,1,1,0,1,0
250,2020-01-08 12:30,1020013503,1,3,204.0786,0,1,1,0,1,0,1,0
251,2020-01-08 13:25,1130072500,0,3,324.5233,0,0,1,1,0,0,0,0
253,2020-01-08 14:00,1130033300,0,1,311.2112,0,0,1,0,1,0,1,0
257,2020-01-08 15:25,1170000803,3,0,227.8831,0,0,1,0,0,0,1,0
257,2020-01-08 15:25,1170000803,3,0,227.8831,0,0,1,0,0,0,1,0
259,2020-01-08 16:00,1230012401,0,3,217.607,0,0,0,0,0,1,0,0
260,2020-01-08 16:50,1220041500,0,3,1067.3175,1,0,1,1,1,0,1,0
261,2020-01-08 17:15,1140030703,2,1,433.0287,0,0,1,1,1,1,1,0
263,2020-01-08 17:30,1100084300,0,0,63.9689,0,1,0,0,0,0,0,0
264,2020-01-08 17:45,1070045600,0,1,110.447,0,0,0,0,0,0,0,0
265,2020-01-08 18:05,1190004802,3,1,259.0176,0,0,0,0,1,0,0,0
266,2020-01-08 18:15,1070022500,0,4,617.5375,1,0,1,1,1,1,1,0
271,2020-01-08 19:25,1070010303,2,1,51.0768,0,0,0,0,0,0,1,0
272,2020-01-08 19:30,1100010800,0,3,423.239,0,0,1,1,0,0,1,0
273,2020-01-08 19:35,1220075900,0,3,169.0548,1,0,1,0,1,0,1,0
273,2020-01-08 19:35,1220075900,0,3,169.0548,1,0,1,0,1,0,1,0
273,2020-01-08 19:35,1220075900,0,3,169.0548,1,0,1,0,1,0,1,0
276,2020-01-08 20:15,1150094400,1,3,67.5396,1,0,1,0,1,0,1,0
277,2020-01-08 21:25,1230001402,2,1,384.3999,0,0,1,1,1,0,1,0
279,2020-01-09 7:45,1230056600,0,3,168.2334,0,0,1,0,1,0,1,0
280,2020-01-09 8:15,1050025400,0,3,182.2767,0,0,1,0,1,0,1,0
281,2020-01-09 8:50,1050049600,0,3,578.0495,0,0,0,1,0,0,0,0
282,2020-01-09 9:05,1150004403,1,1,83.1353,0,0,0,0,0,0,0,0
283,2020-01-09 9:35,1020016702,0,3,399.8771,1,0,1,1,1,0,0,0
284,2020-01-09 9:50,1150019602,1,1,149.4339,0,0,0,0,1,0,1,0
284,2020-01-09 9:50,1150019602,1,1,149.4339,0,0,0,0,1,0,1,0
289,2020-01-09 10:55,1040033300,0,3,110.1511,1,0,1,0,0,0,0,0
289,2020-01-09 10:55,1040033300,0,3,110.1511,1,0,1,0,0,0,0,0
292,2020-01-09 12:30,1220043500,0,3,125.9021,0,0,1,0,1,0,1,0
293,2020-01-09 13:15,1100029601,3,1,54.754,0,0,0,0,1,0,1,0
295,2020-01-09 13:25,1090023200,0,3,410.2569,0,0,1,1,0,1,1,0
296,2020-01-09 13:30,1230009100,1,1,711.2543,0,0,0,1,1,0,1,0
297,2020-01-09 14:05,1210026203,2,1,150.4344,0,0,0,0,1,0,1,0
298,2020-01-09 14:10,1210002501,4,1,127.1239,0,0,0,0,0,0,1,0
299,2020-01-09 15:05,1010003901,2,1,132.2812,0,0,0,0,1,0,1,0
299,2020-01-09 15:05,1010003901,2,1,132.2812,0,0,0,0,1,0,1,0
301,2020-01-09 15:20,1150040600,0,3,239.6679,1,0,1,1,0,0,0,0
302,2020-01-09 15:35,1200003902,2,1,524.6893,1,0,1,0,1,0,1,0
303,2020-01-09 15:40,1040010302,3,1,468.2181,1,0,1,1,0,0,1,0
305,2020-01-09 16:05,1030008702,1,1,250.8059,0,0,1,0,0,0,0,0
306,2020-01-09 17:35,1110042900,0,3,295.4775,0,0,0,0,0,0,0,0
307,2020-01-09 17:45,1230047100,0,3,151.8588,0,0,0,0,0,0,0,0
309,2020-01-09 18:20,1100070800,0,3,46.8571,0,0,0,0,0,0,0,0
310,2020-01-09 18:25,1100032501,1,1,186.7297,0,0,1,1,1,0,1,0
316,2020-01-11 7:35,1240000503,4,1,222.3776,0,0,1,0,1,0,1,0
317,2020-01-11 8:25,1050037400,0,3,188.7366,0,0,1,0,0,0,1,0
321,2020-01-11 10:25,1210014703,0,3,308.5978,0,1,0,0,1,0,0,0
322,2020-01-11 10:35,1150076300,0,3,105.4513,0,0,1,0,0,0,1,0
322,2020-01-11 10:35,1150076300,0,3,105.4513,0,0,1,0,0,0,1,0
324,2020-01-11 11:00,1220010202,1,1,178.1654,0,1,1,1,1,0,1,0
325,2020-01-11 11:20,1220042200,1,5,160.7077,0,0,0,0,0,0,0,0
326,2020-01-11 11:25,1060032100,0,3,484.4718,0,0,1,0,1,0,1,0
327,2020-01-11 11:40,1130048100,0,3,615.788,0,0,1,1,1,1,1,0
328,2020-01-11 11:55,1100040800,0,3,261.5734,0,1,1,1,1,1,1,0
329,2020-01-11 12:00,1030034600,1,0,31.3558,0,0,1,0,0,0,0,0
